Blue Skies (F)*,113
After You've Gone (C)*,114
You Made Me Love You (C)*,114
Fly Me to the Moon (C)*,115
My Romance (C)*,115
I'll Get By (C)*,116
You Make Me Feel So Young (Bb)*,116
Just In Time (Bb)*,117
Out Of Nowhere (G)*,117
Ain't Misbehavin' (C)*,118
Makin' Whoopee (F)*,118
Like Someone in Love (Bb)*,119
Nice Work if You Can Get It (G)*,119
Alone Together (Dm)*,120
Yesterdays (Dm)*,120
More I See You (Eb)*,121
Teach Me Tonight (C)*,121
Heart and Soul (F)*,122
I Hear a Rhapsody (Eb)*,122
I Let a Song Go Out Of My Heart (Eb)*,123
Star Eyes (Eb)*,123
I Could Write a Book (C)*,124
I Thought About You (Eb)*,124
Come Rain or Come Shine (F)*,125
When Lights Are Low (F)*,125
Do You Know What It Means (C)*,126
Lullaby of Birdland (Fm),126
Fine Romance (A) (C)*,127
Sweet Lorraine (G)*,127
Stormy Weather (Ab)*,128
Witchcraft (F)*,128
That Old Black Magic (Eb)*,129
Let's Fall in Love (C)*,130
Will You Still Be Mine (Ab)*,130
Easy to Love (G)*,131
You'd Be So Nice to Come Home To (C)*,131
It's Only a Paper Moon (G)*,132
You're Nobody Till Somebody Love You (F)*,132
On A Slow Boat To China (Bb)*,133
You Stepped Out of a Dream (C)*,133
Dancing on the Ceiling (F)*,134
Manhattan (F)*,134
Mr Lucky (G)*,135
They Can't Take That Away (Eb)*,135
Cheek to Cheek (C)*,136
Three Little Words (C)*,136
I Can't Give You Anything But Love (Ab)*,137
Sentimental Journey (C)*,137
In A Mellow Tone (Ab),138
Moten Swing (Ab),138
Rose Room (Ab),138
Cute (C)*,139
Swinging Shepherd Blues (C),139
Canadian Sunset (Bb)*,140
L-O-V-E Love (F)*,140
How About You (G)*,141
Nice 'N' Easy (Eb)*,141
I Won't Dance (C)*,142
Blue Room (F)*,143
That Old Feeling (Eb)*,143
Call Me Irresponsible (Ab)*,144
I've Got My Love to Keep Me Warm (F)*,145
Weaver of Dreams (C)*,145
Dancing in the Dark (Eb)*,146
Hey There (Eb)*,146
I Don't Know Why (Bb)*,147
There's A Small Hotel (G)*,147
Tender Trap (Ab)*,148
Peg 'O' My Heart (Bb)*,149
You're Getting to be a Habit (F)*,149
I Didn't Know What Time It Was (G)*,150
Oh You Crazy Moon (G)*,150
Make Someone Happy (F)*,151
What Now My Love (F)*,151
Just Squeeze Me (F)*,152
Summer Wind (Eb)*,152
Love Walked In (Eb)*,153
No Moon At All (Dm)*,153
Dream a Little Dream (G)*,154
Sweet and Lovely (G)*,154
Ebb Tide (C)*,155
Harlem Nocturne (Dm),155
Gee Baby Ain't I Good to You (Cm)*,156
Memphis in June (C),156
Blues in the Night (Bb)*,157
Let's Get Away From It All (Eb)*,158
Paper Doll (F)*,158
Let's Do It (Bb)*,159
Glory of Love (G)*,160
Mean to Me (F)*,160
I'm Gonna Sit Right Down (C)*,161
You're My Thrill (Fm)*,161
That's Life (G)*,162
Because of You (Eb)*,163
I'll Be Seeing You (Eb)*,163
My Blue Heaven (Eb)*,164
With A Song In My Heart (Eb)*,164
Beautiful Love (F)*,165
Don't Worry 'Bout Me (Ab)*,165
Don't Take Your Love From Me (C)*,166
I Hadn't Anyone Till You (F)*,166
Button Up Your Overcoat (G)*,167
Please Don't Talk About Me (Eb)*,167
Lil' Darlin' (Eb)*,168
I Love Paris (C)*,169
It's Been a Long Long Time (F)*,169
Moonlight Becomes You (F)*,170
When Your Lover Has Gone (Ab)*,170
Sound of Music (F)*,171
Some Enchanted Evening (C)*,172
Stranger in Paradise (F)*,172
Lovely To Look At (F)*,173
I Get along Without You (Bb)*,174
Everybody Loves Somebody (F)*,175
Song Sung Blue (F)*,175
Raindrops (F)*,176
Sing (Bb)*,176
Moments to Remember (Ab)*,177
This Guy's In Love (Eb)*,177
I Say a Little Prayer For You (C)*,178
Don't Get Around Much (C)*,179
Our Love Is Here To Stay (F)*,179
Do Nothing Till You Hear From Me (F)*,180
There Will Never Be Another You (Eb)*,180
All Of Me (C)*,181
Have You Met Miss Jones (F)*,181
All the Things You Are (Ab)*,182
Just Friends (G)*,182
Day By Day (F),183
Our Day Will Come (G)*,183
It Could Happen To You (F)*,184
Tangerine (F)*,184
I Love You (F)*,185
Pennies From Heaven (C)*,185
Mack The Knife (C)*,186
Somewhere Beyond the Sea (Eb)*,186
Foggy Day (A) (F)*,187
Lady Is a Tramp (C)*,187
It Don't Mean a Thing (Bb)*,188
I've Got the World on a String (Eb)*,188
Night and Day (Eb)*,189
S Wonderful (Eb)*,189
But Not for Me (Eb)*,190
How High the Moon (G)*,190
Shiny Stockings (Ab)*,191
There Is No Greater Love (Bb)*,192
What Is This Thing Called Love (F)*,192
Almost Like Being In Love (Bb)*,193
Secret Love (Bb)*,193
In The Mood (Ab),194
Opus One (G),194
Jersey Bounce (C),195
Pennsylvania 6-5000 (G),195
Stompin' At The Savoy (F),195
Perdido (Bb)*,196
Tuxedo Junction (Bb),196
Crazy Rhythm (F)*,197
String of Pearls (Eb),197
Fascinating Rhythm (F)*,198
Undecided (C)*,198
Long Ago and Far Away (F)*,199
Way You Look Tonight (Eb)*,199
I'll Remember April (G)*,200
It's You or No One (F)*,200
I'm Old Fashioned (F)*,201
Stars Fell On Alabama (C)*,201
Gone With the Wind (Eb)*,202
Invitation (Cm)*,202
I've Got You Under My Skin (Eb)*,203
Come Fly With Me (C)*,204
Dearly Beloved (C)*,205
I Get a Kick Out of You (Eb)*,205
Cherokee (Bb),206
Old Devil Moon (F)*,206
Green Dolphin Street (C)*,207
I'm Beginning to See the Light (C)*,207
Exactly Like You (C)*,208
Just One Of Those Things (F)*,208
Song Is You (C)*,209
This Could Be The Start (C)*,210
Chattanooga Choo Choo (C)*,211
Red Roses (for a Blue Lady) (C)*,212
You and the Night and the Music (Eb)*,212
Love For Sale (Bb)*,213
My Baby Just Cares for Me (G)*,214
Walkin' My Baby Back Home (Eb)*,214
Lot of Living To Do (C)*,215
Somebody Loves Me (G)*,215
This Can't Be Love (Ab)*,216
Too Close For Comfort (C)*,216
Give Me the Simple Life (Eb)*,217
Too Marvelous For Words (G)*,217
Between the Devil and the Deep Blue Sea (F)*,218
You Do Something to Me (Eb)*,218
All or Nothing At All (C)*,219
Take the A Train (C),220
There'll Be Some Changes Made (Bb)*,220
Lover Come Back To Me (Ab)*,221
Breeze and I (F)*,222
Without a Song (Eb)*,222
Don't Be That Way (Eb)*,223
Wrap Your Troubles (C)*,223
From This Moment On (Ab)*,224
San Francisco (C),224
Alright Okay You Win (Eb)*,225
Woodchopper's Ball (C),225
Choo Choo Ch Boogie (F)*,226
Mountain Greenery (C)*,226
Hello Dolly (Bb)*,227
I Got Rhythm (Bb)*,227
Alley Cat (C),228
Cabaret (Eb)*,228
On The Sunny Side of the Street (C)*,229
One (Eb)*,229
New York New York (F)*,230
When You're Smiling (Bb)*,230
Fine and Dandy (F),231
On The Street Where You Live (C)*,231
Anything Goes (C)*,232
Get Me to the Church on Time (G)*,232
It's Delovely (F)*,233
Whispering (Eb)*,233
Lady Be Good (G)*,234
Marne (C),234
Cecilia (C)*,235
It All Depends on You (C)*,235
Puttin' On The Ritz (Fm)*,236
Surrey With The Fringe (G)*,236
I Like the Likes Of You (Eb)*,237
Late Late Show (F)*,237
How Can You Do Me Like You Do (C)*,238
Margie (F)*,238
Tie A Yellow Ribbon (Eb)*,239
So What's New (C)*,240
Sweet Gypsy Rose (C),240
Give My Regards to Broadway (Bb),241
Hooray for Hollywood (F),241
That's Entertainment (Bb),241
It's Alright With Me (F)*,242
Rosetta (F)*,242
Bill Bailey (F)*,243
Sweet Georgia Brown (G)*,243
Five Foot Two (C)*,244
Way Down Yonder in New Orleans (G)*,244
Bye Bye Blues (C)*,245
Honeysuckle Rose (F)*,245
Scrapple From the Apple (F),245
Bourbon Street Parade (Ab),246
St Louis Blues (G)*,246
Basin Street Blues (C)*,246
Birth of the Blues (C)*,246
Charleston (Bb),247
Indiana (F)*,247
Alexanders Ragtime Band (F)*,249
Chicago (F)*,249
Ain't She Sweet (C)*,248
Darktown Strutters Ball (C)*,248
Jada (F)*,248
I've Found a New Baby (Dm),249
Midnight in Moscow (C),249
Muskrat Ramble (Bb),249
Tiger Rag (Bb),250
Avalon (F)*,251
Tin Roof Blues (Bb),251
Baby Face (C)*,252
Toot Toot Tootsie (C)*,252
Yes Sir That's My Baby (Eb)*,252
Rock-A-Bye Your Baby (C)*,253
Shiek of Araby (Bb)*,253
Limehouse Blues (Ab)*,254
Up A Lazy River (F)*,254
Fascination (C)*,255
Moon River (C)*,255
Someday My Prince Will Come (F)*,255
Around the World (C)*,256
Somewhere My Love (G)*,256
Always (F)*,257
Emily (C)*,257
Edelweiss (Bb)*,258
Wunderbar (G)*,258
Under Paris Skies (Fm)*,259
Merry Widow Waltz (F),260
Vienna My City of Dreams (F)*,260
Wonderful Copenhagen (C)*,260
Two Hearts in 3/4 Time (C)*,261
Vienna Life (Bb),261
Where Is Your Heart (Eb),261
Mademoiselle de Paris (D),262
Pigalle (C),262
Que Sera Sera (Eb),262
Dear Heart (F)*,263
Falling In Love Again (Eb)*,263
I Could Have Danced All Night (C)*,263
Baubles Bangles and Beads (Ab)*,264
Tennessee Waltz (C)*,264
Falling In Love With Love (Bb)*,265
I'll Take Romance (F)*,265
Greensleeves (Dm)*,266
My Favorite Things (Em)*,266
Alice in Wonderland (C)*,267
Lover (C)*,267
Bluesette (Bb),268
Scarborough Fair (Dm),268
Up Jumped Spring (Bb),268
Gravy Waltz (C),269
My Buddy (G)*,269
What'll I Do? (Eb)*,269
Hello Young Lovers (Eb)*,270
Beer Barel Polka (C)*,271
Clarinet Polka (C),272
Happy Wanderer (Bb),272
Helena Polka (F),272
Liechtensteiner Polka (F),273
Pennsylvania Polka (F),273
Too Fat Polka (C),273
Hoop-Dee-Doo (Eb)*,274
Al Di La (Bb),275
Come Back to Sorrento (Cm),275
Mala Femmena (Bb),275
Arrivederci Roma (G)*,276
Tarantella (Am),276
Volare (Bb),276
Ah Marie (Cm),277
Maria Elena (C),277
O Sole Mio (Eb),277
Anema E Core (G),278
Ciao Ciao Bambina (C),278
My Love Forgive Me (C),278
Danny Boy (Londonderry Air) (C)*,279
When Irish Eyes Are Smiling (C)*,279
Irish Washerwoman (G),280
MacNamara's Band (F),280
My Wild Irish Rose (Bb),280
Too-Ra-Loo-Ra-Loo-Ral (C),280
Hava Nagilah (F),281
Sunrise Sunset (Gm)*,281
Artsa Alinu (Dm),282
Mayim Mayim (Cm),282
Misirlou (Gm),282
Tzena (F),282
Godfather Theme (Cm),283
Hawaiian Wedding Song (C)*,283
Anniversary Song (Em)*,284
Anniversary Waltz (C),284
Bridal Chorus (Bb),285
Hail to the Chief (C),285
Wedding March (Dm),285
Bunny Hop (F),286
Hokey Pokey (Bb),286
Mexican Hat Dance (F),286
Auld Lang Syne (F),287
Star Spangled Banner (Bb),287
Stripper (F),287
Chicken Dance (C),288
Daddy's Little Girl (C)*,288
Russian Dance (G),289
Those Were the Days (Am)*,289
La Vie en Rose (C)*,290
Limbo Rock (F)*,290
Cielito Lindo (Bb)*,291
Guantanamara (D)*,291
That's Amore (F)*,292
Christmas Song (Eb)*,293
I'll Be Home for Christmas (C)*,293
Have Yourself a Merry Christmas (C)*,294
White Christmas (C)*,294
Rudolph (C)*,295
Santa Claus is Coming (C)*,295
Sleigh Ride (G)*,296
Silver Bells (C)*,296
Let It Snow (F)*,297
Winter Wonderland (Eb)*,297
Jingle Bells (G)*,298
Jinglebell Rock (C)*,298
Christmas Time is Here (F)*,299
Frosty the Snowman (C)*,299
Girl From Ipanema (F)*,300
Shadow of Your Smile (G)*,300
Watch What Happens (Eb)*,301
Wave (D),301
Meditation (C)*,302
Quiet Nights (Corcovado) (C)*,302
Gentle Rain (Am)*,303
Once I Loved (F)*,303
Little Boat (C),304
One-Note Samba (Bb)*,304
How Insensitive (Dm)*,305
Pretty World (G),305
O Grande Amor (Am),306
So Nice (Summer Samba) (F)*,306
Black Orpheus (Am)*,307
Triste (Bb)*,307
Desafinado (F)*,308
Like A Lover (C)*,309
Don't Misunderstand (F)*,310
Look of Love (Dm)*,310
Call Me (Bb)*,311
Yellow Days (F)*,311
Dindi (C)*,312
No More Blues (Chega De Saudade) (D)*,313
Felicidade (Cm)*,316
Going Out of My Head (Bb)*,314
Look to the Sky (Eb),315
Recado Bossa Nova (Dm),315
Man And A Woman (C),316
So Many Stars (C)*,316
Estate (Gm)*,317
Only Trust Your Heart (C)*,317
If You Never Come To Me (Eb)*,318
Never Let Me Go (Db)*,318
Where Do You Start (Eb)*,319
Lujon (Dm),320
Sabor A Mi (Eb),320
Brazil (Ab)*,321
Quando Quando (Bb)*,322
Samba de Orfeu (C),322
I Go To Rio (Bb),323
Jazz Samba (Eb)*,323
Tico Tico (Am)*,324
Bim Bam Bum (Bb),325
Mas Que Nada (Am)*,325
Menina Flor (Eb),326
Their's Tears (Fm),326
Besame Mucho (Dm)*,327
Spanish Eyes (G)*,327
Begin the Beguine (C)*,328
Green Eyes (Eb)*,329
More (G),329
Amor (C)*,330
Poinciana (G)*,330
Perfidia (C)*,331
Speak Low (F)*,331
Always In My Heart (Bb)*,332
You Belong To My Heart (Eb)*,332
Softly As In A Morning Sunrise (Dm)*,333
Strangers In The Night (F),333
Amapola (Bb)*,334
Yours (C)*,334
Cherry Pink and Apple (Eb)*,335
Tea For Two (Ab)*,335
Frenesi (Ab)*,336
Dansero (F)*,337
Never on Sunday (Eb)*,337
Caravan (Fm)*,338
Morning (Bbm),338
Blue Tango (D)*,339
Kiss Of Fire (Dm)*,340
La Cumparsita (Cm),341
La Paloma (C),341
Jalousie (Bb)*,342
Chelsea Bridge (Db),343
Child is Born A (Bb),343
Search For Peace (C),343
Blue In Green (Bb),344
Lament (F),344
Passion Flower (G),344
Peace (Bb),344
Naima (Fm),345
Round Midnight (Ebm),345
I Remember Clifford (F),346
