Ana Maria,Wayne Shorter,New Real Book: Vol. 1,7
Ana Maria,Wayne Shorter,New Real Book: Vol. 1 - Digital Edition,7
Anatelio (The Happy People),Airto Moreira,Latin Real Book,41
And It Goes 'Round And 'Round,Bernard Ighner,New Real Book: Vol. 3,15
And The Angels Sing,Johnny Mercer & Ziggy Elman,Standards Real Book,27
And the Angels Sing,Mercer & Elman,Digital Standards Songbook,11
And The Melody Still Lingers On,"D Gillespie, F Paparelli, A Mardin & C Khan",World's Greatest Fakebook,9
And Then I Wrote,George Shearing,European Real Book,15
Angel Eyes,Matt Dennis & Earl Brent,New Real Book: Vol. 1,9
Angel Eyes,Matt Dennis & Earl Brent,Best of Sher Music Co.,3
Angel Eyes,Matt Dennis & Earl Brent,New Real Book: Vol. 1 - Digital Edition,7
Angel Feet,David Gordon,European Real Book,17
Angoa,Felix Reina & Carlos Reyes,Latin Real Book,43
Another Star,Stevie Wonder,New Real Book: Vol. 3,17
Another Time,Alan Broadbent,New Real Book: Vol. 3,19
Anthropology,Charlie Parker & Dizzy Gillespie,New Real Book: Vol. 1,11
Anthropology,Charlie Parker,Best of Sher Music Co.,6
Anthropology,Charlie Parker & Dizzy Gillespie,New Real Book: Vol. 1 - Digital Edition,11
Antigua,Antonio Carlos Jobim,All-Jazz Real Book,16
Anything Goes,Cole Porter,Standards Real Book,29
Anything Goes,Cole Porter,Digital Standards Songbook,13
Ao Vento (The Wind),Chico Pinheiro,Latin Real Easy Book,116
Aparecida,Ivan Lins & Mauricio Topajos,Latin Real Book,47
Appointment In Ghana,Jackie McLean,New Real Book: Vol. 3,21
April Mist,Tom Harrell,All-Jazz Real Book,18
Aquarela Do Brasil (aka Brazil),Ary Barroso & S.K. Russel,Latin Real Book,49
"Aqui, Oh!",Toninho Horta & Fernando Brant,Latin Real Book,51
Arallue,Ruben Blades,Latin Real Book,53
Arcade,John Abercrombie,World's Greatest Fakebook,6
Are You Real?,Benny Golson,Real Easy Book: Vol. 2,5
Arietas,Freddie Hubbard,New Real Book: Vol. 3,24
Armando's Rumba,Chick Corea,Latin Real Book,61
Around The Corner,Larry Dunlap,Latin Real Easy Book,4
As Time Goes By,Herman Hupfeld,Standards Real Book,31
As Time Goes By,Herman Hupfeld,Digital Standards Songbook,15
As We Speak,Dave Sanborn & Michael Sembello,Standards Real Book,33
Asa,Djavan,Latin Real Easy Book,120
Asa (The Zoo Blues),Djavan,New Real Book: Vol. 2,9
"Asi No, Papa",Rudy Calzado,Latin Real Easy Book,124
At Last,Harry Warren & Mack Gordon,Standards Real Book,37
At Long Last Love,Cole Porter,Standards Real Book,39
At Night,Marc Copland,All-Jazz Real Book,20
At The Close Of The Day,Fred Hersch,All-Jazz Real Book,22
Atras De Nos,Richard Boukas,Latin Real Book,63
Au Privave,Charlie Parker,Real Easy Book: Vol. 3,43
Autumn Leaves,Joseph Kosma & Johnny Mercer,New Real Book: Vol. 1,12
Autumn Leaves,Joseph Kosma & Johnny Mercer,New Real Book: Vol. 1 - Digital Edition,12
Autumn Nocturne,Kim Gannon & Josef Myrow,Standards Real Book,41
Autumn Nocturne,Gannon & Myrow,Digital Standards Songbook,17
Autumn Serenade,Peter De Rose & Sammy Galop,New Real Book: Vol. 3,27
Autumn Song,Enrico Pieranunzi,European Real Book,19
Avance,Russell Ferrante,New Real Book: Vol. 2,11
Ayer Y Hoy,Dario Eskenazi,All-Jazz Real Book,24
Azule Serape,Victor Feldman,All-Jazz Real Book,32
Azulito,Ray Santos,Latin Real Easy Book,130
Azure-Te (Paris Blues),Bill Davis & Don Wolf,Real Easy Book: Vol. 2,9
B-Sting,Brandon Fields & Billy Childs,New Real Book: Vol. 3,29
Baby I Love You,Ronnie Shannon,New Real Book: Vol. 1,13
Baby I Love You,Ronnie Shannon,New Real Book: Vol. 1 - Digital Edition,13
Baby It's Cold Outside,Frank Loesser,New Real Book: Vol. 2,13
Baby Plum,Jacky Terrasson,European Real Book,21
"Baby, Come To Me",Rod Temperton,New Real Book: Vol. 3,33
Bacchanal,Kenny Barron,Latin Real Book,65
Backstage Sally,Wayne Shorter,New Real Book: Vol. 3,35
Bags' Groove,Milt Jackson,Standards Real Book,43
Bags' Groove,Milt Jackson,Real Easy Book: Vol. 1,1
Bags' Groove,Milt Jackson,Best of Sher Music Co.,7
Baia (aka Bahia),Ary Barroso & Ray Gilbert,Latin Real Book,67
Bailando Asi,Jesus "Chucho" Valdez,Latin Real Book,69
Baja Bajo,John Pattitucci & Chick Corea,New Real Book: Vol. 2,15
"Ballad For Doll, A",Jackie McLean,New Real Book: Vol. 3,38
Ballad For Two Musicians,Josef Zawinul,New Real Book: Vol. 3,39
Baltimore Oriole,Hoagy Carmichael & Paul Francis Webster,Standards Real Book,45
Bananeira,Joao Donato/Gilberto Gil,Latin Real Easy Book,134
Barbara,Horace Silver,Real Easy Book: Vol. 2,11
Basin Street Blues,Spencer Williams,New Real Book: Vol. 1,15
Basin Street Blues,Spencer Williams,New Real Book: Vol. 1 - Digital Edition,15
Bass Blues,John Coltrane,New Real Book: Vol. 2,17
Basta De Clamares Inocencia,Cartola,Latin Real Book,75
"Beatles, The",John Scofield,World's Greatest Fakebook,15
Beatrice,Sam Rivers,All-Jazz Real Book,35
"Beautiful Friendship, A",Donald Kahn & Stanley Styne,Standards Real Book,47
"Beautiful Friendship, A",Kahn & Styne,Digital Standards Songbook,19
Beautiful Love,"V Young, W King, E Van Alstyne & H Gillespie",New Real Book: Vol. 1,16
Beautiful Love,"V. Young, W. King, E. van Alstyne & H. Gillespie",Best of Sher Music Co.,9
Beautiful Love,"V Young, W King, E Van Alstyne & H Gillespie",New Real Book: Vol. 1 - Digital Edition,16
Beauty And The Beast,Wayne Shorter,New Real Book: Vol. 2,20
"Beauty Of All Things, The",Laurence Hobgood & Kurt Elling,All-Jazz Real Book,36
Beauty Secrets,Kenny Werner,All-Jazz Real Book,40
Bebe,Hermeto Pascoal,All-Jazz Real Book,42
Bebop,Dizzy Gillespie,World's Greatest Fakebook,18
Bebop Lives,"Miles Davis, Ray Passman & Holli Ross",Best of Sher Music Co.,11
Bebop Lives (Boplicity),"Miles Davis, Ray Passman & Holli Ross",World's Greatest Fakebook,19
Begin The Beguine,Cole Porter,Standards Real Book,49
Begin the Beguine,Cole Porter,Digital Standards Songbook,20
Being Cool (Aviao),Djavan,All-Jazz Real Book,44
Beiral,Djavan,All-Jazz Real Book,46
Bemba Colora,Jose Claro Fumero,Latin Real Book,77
Berimbau,Baden Powell,Latin Real Easy Book,6
Bernie's Tune,Bernie Miller,New Real Book: Vol. 1,17
Bernie's Tune,Bernie Miller,Real Easy Book: Vol. 3,61
Bernie's Tune,Bernie Miller,Best of Sher Music Co.,13
Bernie's Tune,Bernie Miller,Real Cool Book,1
Bernie's Tune,Bernie Miller,New Real Book: Vol. 1 - Digital Edition,17
Besame,Flavio Venturini & Murilo Antunes,Latin Real Book,81
Besame Macho,Larry Vuckovich,European Real Book,23
Besame Mucho,Consuelo Velasquez,Latin Real Book,83
"Bess, You Is My Woman","George & Ira Gershwin, Du Bose & Dorothy Heyward",Standards Real Book,51
Bessie's Blues,John Coltrane,New Real Book: Vol. 2,21
Bessie's Blues,John Coltrane,Best of Sher Music Co.,14
"Best Is Yet To Come, The",Cy Coleman & Carolyn Leigh,Standards Real Book,53
Between Moons,John Taylor,European Real Book,25
Bewitched,Richard Rodgers & Lorenz Hart,Standards Real Book,55
Bewitched,Rodgers & Hart,Digital Standards Songbook,22
Bidin' My Time,George & Ira Gershwin,Standards Real Book,57
Bidin' My Time,George & Ira Gershwin,Digital Standards Songbook,24
Big Bad G,David Horler,European Real Book,27
Big Bertha,Duke Pearson,Real Easy Book: Vol. 1,3
Big J,John Scofield,All-Jazz Real Book,49
Big P,Jimmy Heath,World's Greatest Fakebook,21
Big P,Jimmy Heath,Best of Sher Music Co.,15
"Bill Baily, Won't You Please Come Home",Traditional,Real Easy Book: Vol. 3,7
Bilongo,Guillermo Rodriquez Fiffe,Latin Real Book,85
Bird Food,Ornette Coleman,New Real Book: Vol. 1,18
Bird Food,Ornette Coleman,New Real Book: Vol. 1 - Digital Edition,18
Bird of Beauty,Stevie Wonder,New Real Book: Vol. 3,43
Birdland,Josef Zawinul,World's Greatest Fakebook,23
Birdland,Joe Zawinul,Best of Sher Music Co.,17
"Birth Of The Blues, The","B.G. DeSylva, Lew Brown & Ray Henderson",Real Easy Book: Vol. 3,11
Birthday Blues,Barbara Dennerlein,European Real Book,31
Black And Blue,"Fats Waller, Harry Brooks & Andy Razaf",New Real Book: Vol. 2,22
Black Coffee,Paul Francis Webster & Sonny Burke,New Real Book: Vol. 2,23
Black Ice,Jeff Lorber,New Real Book: Vol. 1,19
Black Ice,Jeff Lorber,New Real Book: Vol. 1 - Digital Edition,19
Black Inside,Antonio Farao,European Real Book,33
Black Narcissus,Joe Henderson,New Real Book: Vol. 1,21
Black Narcissus,Joe Henderson,New Real Book: Vol. 1 - Digital Edition,21
Black Nile,Wayne Shorter,New Real Book: Vol. 3,46
Black Orchid,Cal Tjader,Real Easy Book: Vol. 2,13
Blackberry Winter,Alec Wilder & Loonis McGlohon,Standards Real Book,59
Blame It On My Youth,Oscar Levant & Edward Heyman,New Real Book: Vol. 1,22
Blame It On My Youth,Oscar Levant & Edward Heyman,Best of Sher Music Co.,21
Blame It On My Youth,Oscar Levant & Edward Heyman,New Real Book: Vol. 1 - Digital Edition,22
"Blessing, The",Ornette Coleman,World's Greatest Fakebook,27
Blizzard Of Lies,Dave & Samantha Frishberg,New Real Book: Vol. 1,23
Blizzard Of Lies,Dave & Samantha Frishberg,New Real Book: Vol. 1 - Digital Edition,23
Blue And Sentimental,"Count Basie, Jerry Livingston & Mack David",Standards Real Book,61
Blue and Sentimental,"Basie, Livingston & David",Digital Standards Songbook,26
Blue Bossa,Kenny Dorham,New Real Book: Vol. 1,25
Blue Bossa,Kenny Dorham,New Real Book: Vol. 1 - Digital Edition,25
Blue Daniel,Frank Rosolino,New Real Book: Vol. 1,26
Blue Daniel,Frank Rosolino,New Real Book: Vol. 1 - Digital Edition,26
Blue Dove,Mexican Folk Song,World's Greatest Fakebook,29
Blue Gardenia,Bob Russell & Lester Lee,Standards Real Book,63
Blue Gardenia,Russell & Lee,Digital Standards Songbook,28
Blue In Black & White,Pete Oxley,European Real Book,35
Blue Matter,John Scofield,All-Jazz Real Book,50
Blue Moon,Richard Rodgers & Lorenz Hart,New Real Book: Vol. 3,47
Blue Room,Richard Rodgers & Lorenz Hart,Standards Real Book,65
Blue Room,Rodgers & Hart,Digital Standards Songbook,29
Blue Seven,Sonny Rollins,All-Jazz Real Book,53
Blue Seven,Sonny Rollins,Real Easy Book: Vol. 1,5
Blue Spirits,Freddie Hubbard,New Real Book: Vol. 3,49
Blue Train,John Coltrane,Real Easy Book: Vol. 3,79
Blue Tuesday,Jessica Williams,New Real Book: Vol. 3,54
Blues By Five,Red Garland,Real Easy Book: Vol. 1,7
Blues Connotation,Ornette Coleman,New Real Book: Vol. 1,27
