Ah! Se Eu Pudesse,15,15
Amanha,16,16
Amazonas,17,17
Amor Certinho,18,18
Amor Em Paz,19,19
A Morte De Um Deus Do Sal,20,20
Anos Dourados,21,21
A Paz,22,22
Aquarela Do Brasil,23,23
